"","IDy","ID_Parcelle","type_prod","Autres outils","Charrue","Outil à dents","Outil à disques","Outil rotatif","Pas de travail du sol","nb_tot_trav_sol","Fertilisation (autre)","Fertilisation minérale","Fertilisation organique","Fertilisation organo-minérale","Pas de fertilisation","nb_tot_ferti","tot_azote","Désherbage complet","Désherbage partiel","Désherbage sélectif","Enherbement total","Information inconnue.x","Pas de désherbage","nb_tot_herb","N_trait","N_trait_k","N_missing","IFT_herbi","IFT_insec","IFT_fongi","IFT_tot","IFT_tot2","Animaux de pâture","Autres (non chimiques)","Broyage ou tonte sans ramassage","Fauchage avec exportation des fauches","Fauchage sans exportation des fauches","Herbicide non sélectif de contact","Herbicide non sélectif systémique","Herbicide sélectif antidicotylédones","Herbicide sélectif antigraminées","Information inconnue.y","Intervention chimique (indéfini)","Intervention mécanique (indéfini)","Pas d'intervention","Tonte avec ramassage","nb_tot_int","nb_int_non_ch","nb_int_chim"
"31","103_2012",103,"Conventionnel",0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","103_2013",103,"Conventionnel",0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,10,10,0,1.55555555555556,0,3.38235294117647,6.13790849673203,4.93790849673203,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"33","103_2014",103,"Conventionnel",0,0,1,1,0,0,2,0,2,0,0,0,2,136.5,0,0,4,0,0,0,4,27,27,0,2.64,1.2,7.52741854636592,12.4590852130326,11.3674185463659,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"34","103_2015",103,"Conventionnel",0,0,1,1,0,0,2,0,4,0,0,0,4,350,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"35","103_2016",103,"Conventionnel",0,0,0,1,1,0,2,1,2,0,0,0,3,185,0,0,2,0,0,0,2,30,30,0,3.9,2.4,8.35,16.697619047619,14.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"36","103_2017",103,"Conventionnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","104_2012",104,"Conventionnel",0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","104_2013",104,"Conventionnel",0,0,2,1,1,0,4,0,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"39","104_2014",104,"Conventionnel",0,1,0,0,0,0,1,4,0,0,0,0,4,120,0,0,1,0,0,0,1,35,20,15,1.34,2.66666666666667,10.125,14.1316666666667,14.1316666666667,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"40","104_2015",104,"Conventionnel",2,0,1,2,0,0,5,0,2,0,0,0,2,100,0,0,2,0,0,0,2,6,6,0,2.80451127819549,0,1.75187969924812,4.55639097744361,4.55639097744361,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
